title,link,snippet,date_range,date
Acts regulated by the Finance Bill,https://www.business-standard.com/about/what-is-acts-regulated-by-the-finance-bill,"The Finance Bill makes amendments to existing rules and laws regarding taxes, government expenditure, financial policy, etc.",06/05/2019 to 07/05/2019,
India finance minister ditches 'colonial' budget briefcase,https://www.bbc.com/news/world-asia-india-48879594,"India's Finance Minister Nirmala Sitharaman chose to ditch the ""colonial"" briefcase while presenting her maiden budget to parliament.",06/05/2019 to 07/05/2019,
Esg | Latest & Breaking News on Esg,https://www.moneycontrol.com/news/tags/esg.html,"Climate action: Why ESG & blended finance are not enough. The ... ESG parameters to decide investment flows, control 34% of assets in India by 2051: Report.",06/05/2019 to 07/05/2019,
Business - Briefs,https://timesofindia.indiatimes.com/briefs/business,"Indian billionaires' wealth up 42% in last financial year, says reportIndian billionaires' wealth surged 42% to over $905 billion in the last financial year, ...",07/06/2019 to 08/05/2019,
Finance,https://www.vccircle.com/industry/finance/67/572?amp=1,"Stay updated with the latest financial news, funding developments, government policies, and insights shaping the finance sector in India. AllProPremium · Dutch ...",07/06/2019 to 08/05/2019,
"Read Latest News & Updates on Nfo, Photos, Videos",https://www.cnbctv18.com/tags/nfo.htm,Nfo NEWS · From index funds to insurance ETFs: These NFOs are currently open for subscription · Why equity mutual fund inflows decreased in November · Aditya Birla ...,07/06/2019 to 08/05/2019,
Management News,https://www.business-standard.com/management,"Management News: Get latest business school news, business success stories, marketing news, business education news, brands news, business management news ...",07/06/2019 to 08/05/2019,
India,https://www.greenfinanceplatform.org/country/india,"Landscape of Green Finance in India 2022, Climate Policy Initiative (CPI), Paris, Alignment of Power Sector Finance Flows in India.",07/06/2019 to 08/05/2019,
IIFL Finance Q2 Results 2024 - Mint,https://www.livemint.com/market/market-stats/iifl-finance-q2-results-s0003379,"IIFL Q2 Results: Check out IIFL Finance Q2 Result news, IIFL Finance Q2 Earnings result updates and highlights. | IIFL Q2 Results 2024.",07/06/2019 to 08/05/2019,
Page 85 - Indian markets,https://www.business-standard.com/topic/indian-markets/page-85,"324 stocks hit lower circuit on BSE; Reliance Capital tumbles 24% intra-day · Correction fails to rein in expensive market valuation, say analysts · Street signs: ...",07/06/2019 to 08/05/2019,
"Financial system has surplus liquidity, which will help in ...",https://www.thehindu.com/business/Economy/financial-system-has-surplus-liquidity-which-will-help-in-better-relay-of-rate-cuts-rbi-chief/article28320803.ece,The financial system is “hugely surplus” with liquidity and this would facilitate the better transmission of rate cuts implemented by the Reserve Bank of India ...,07/06/2019 to 08/05/2019,
"Read Latest News & Updates on Affle india, Photos, Videos",https://www.cnbctv18.com/tags/affle-india.htm,Affle India secures US patent for user identification technology to improve advertisement delivery · Affle India expects profits to grow faster than revenue.,07/06/2019 to 08/05/2019,
"A Budget for Bharat, Funded By India and the World",https://www.iifl.com/finance/media/budget-bharat-funded-india-and-world,"A Budget for Bharat, Funded By India and the World. The budget presented by Finance Minister Nirmala Sitharaman is a statement of purpose of Modi government 2.0 ...",07/06/2019 to 08/05/2019,
Finance,https://www.vccircle.com/industry/finance/67/570?amp=1,CPPIB's India investment pace slows for second year. Canada Pension Plan Investment Board (CPPIB) has continued to pour money into India across sectors such as ...,08/06/2019 to 09/05/2019,
"Read Latest Finance News, IPO, Mutual Funds News",https://m.economictimes.com/markets/commodities/views/silver-may-outperform-gold-in-next-3-months/articleshow/70828152.cms,Top Searched Companies · IRFC share price · Suzlon share price · IREDA share price · TATA Motors share price · Yes bank share price · HDFC Bank share price · NHPC ...,08/06/2019 to 09/05/2019,
"Investment Stocks in India by Market Capitalisation, List ...",https://www.moneycontrol.com/stocks/marketinfo/marketcap/bse/finance-investment.html,Top Finance - Investment Stocks in India by Market Capitalisation: Get the List of Top Finance - Investment Companies in India (BSE) based on Market,08/06/2019 to 09/05/2019,
NBFC-Microfinance institutions top in market share: Here're ...,https://www.business-standard.com/article/finance/nbfc-microfinance-institutions-top-in-market-share-here-re-the-details-119081501009_1.html,"Of this, the share of non-banking financial companies-microfinance institutions (NBFC-MFI) was the highest at Rs 68,156 crore or 38 per cent of the portfolio; ...",08/06/2019 to 09/05/2019,
"Many Indians lack enough knowledge about investing, blame ...",https://www.livemint.com/money/personal-finance/many-indians-lack-enough-knowledge-about-investing-blame-dearth-of-financial-ed-1565810165114.html,"A recent survey by Scripbox, an online mutual funds platform, found that 72% Indians are unaware of how much to put aside or invest in order to achieve ...",08/06/2019 to 09/05/2019,
Inclusive Finance in India: Citi Partnering with CreditAccess ...,https://www.citigroup.com/global/news/perspective/2019/inclusive-finance-in-india-citi-partnering-with-creditaccess-grameen-to-finance-75000-women-entrepreneurs,"Citi India funded 2 billion INR (the equivalent of $29.5 million USD) to CreditAccess Grameen, the largest microfinance institution in the country.",08/06/2019 to 09/05/2019,
"L'Oréal invests in Fireside Ventures, an Early Stage ...",https://www.loreal-finance.com/eng/news-event/loreal-invests-fireside-ventures-early-stage-investment-fund-focused-indian-consumer,"L'Oréal announces an investment in Fireside Fund II, the second investment fund managed by Fireside Ventures, a venture fund created in 2017 and focused on ...",08/06/2019 to 09/05/2019,
Central Bank of India plans to raise up to Rs 3000 crore,https://www.financialexpress.com/business/banking-finance-central-bank-of-india-plans-to-raise-up-to-rs-3000-crore-1681297/,"Public-sector lender Central Bank of India plans to raise Rs 2,000-3,000 crore over the next two months in multiple tranches, Pallav Mohapatra, ...",08/06/2019 to 09/05/2019,
Bank Merger: Nirmala Sitharaman announces big reforms ...,https://m.economictimes.com/news/economy/policy/nirmala-sitharaman-announces-fresh-reforms-special-agencies-to-monitor-loans-above-rs-250-crore-to-avert-another-nirav-modi-like-situation/articleshow/70909169.cms,Finance Minister Niramala Sitharaman today announced amalgamation of 10 public sector banks into four big banks.,08/06/2019 to 09/05/2019,
Finance Minister Nirmala Sitharaman... - All India Radio ...,https://www.facebook.com/airnewsalerts/posts/finance-minister-nirmala-sitharaman-says-rbis-decision-to-transfer-record-176-la/1468125846662141/,"Finance Minister Nirmala Sitharaman says, RBI's decision to transfer record 1.76 lakh crore rupees dividend and surplus reserves to government is based on ...",08/06/2019 to 09/05/2019,
"Business News, Stock/Share Market Investment, Live BSE ...",https://www.moneycontrol.com/promo/mc_wap_interstitial_dfp.php?classic=true,"Moneycontrol is India's leading financial information source for Live Stock Price, Stock/Share Trading news, Stock/Share Markets Tips, Sensex, Nifty.",09/06/2019 to 10/06/2019,
Finance,https://www.vccircle.com/industry/finance/67/553,"Axis Bank raises $1.76 bn via share sale to GIC, others; Bain Capital sits out. Axis Bank, India&#39;s third-largest private-sector lender, has raised Rs ...",09/06/2019 to 10/06/2019,
Equitas Small Finance Bank NEWS,https://www.cnbctv18.com/tags/equitas-small-finance-bank.htm,Equitas Small Finance Bank expects gross NPA to remain at current levels of 2.5-2.6% in FY25 · Equitas Small Finance Bank Q3 profit jumps 18% to ₹202 crore.,09/06/2019 to 10/06/2019,
BSE,https://www.business-standard.com/markets/null-share-price-7129/announcements/bse-exchange-44720417,"Share Market Today: Stay updated with the Latest Share Market News, Share Market Live Updates, Sensex Today, Nifty Live, IPO News, Mutual Funds, ...",09/06/2019 to 10/06/2019,
Indian banking: View: Bank's race against crisis puts India ...,https://m.economictimes.com/industry/banking/finance/banking/view-banks-race-against-crisis-puts-india-on-warning/articleshow/71160690.cms,India's fragile financial system is swinging between despair and hope. Two separate incidents — both featuring the lender Yes Bank Ltd. — recently underscored ...,09/06/2019 to 10/06/2019,
ESAF Small Finance Bank Joins 160 Other Financial ...,https://smefinanceforum.org/post/esaf-small-finance-bank-joins-160-other-financial-institutions-to-promote-sme-finance%C2%A0,We are proud to have ESAF Small Finance Bank join our network of more than 150 members who work to expand access to finance for small and medium businesses.,09/06/2019 to 10/06/2019,
Page 274 :Financial News: News on Government Finance ...,https://www.asianetnews.com/news-money/page-274,ഡിസംബറിൽ കയറ്റുമതി രം​ഗത്ത് ഇടിവ്: രാജ്യത്തിന്റെ വ്യാപാരക്കമ്മി ഉയർന്നു. ഇറക്കുമതി 7.6 ശതമാനം ഉയർന്ന് 42.6 ബില്യൺ യുഎസ് ഡോളറിലെത്തി. ഡിസംബറിലെ വ്യാപാരക്കമ്മി 15.71 ബില്യൺ യുഎസ് ഡോളറായി ഉയർന്നു.,09/06/2019 to 10/06/2019,
A bank's race against crisis has served a warning to Indian ...,https://www.business-standard.com/article/finance/bank-s-race-against-crisis-puts-india-on-warning-119091700118_1.html,India's fragile financial system is swinging between despair and hope. Two separate incidents — both featuring the lender YES Bank Ltd — recently ...,09/06/2019 to 10/06/2019,
"India's Financial Services: Trust deficit, truth, and dare",https://www.cnbctv18.com/finance/indias-financial-services-trust-deficit-truth-and-dare-4477281.htm,"For many months now, a significant chunk of India's financial services ecosystem is grappling with a chronic trust deficit around asset quality, ...",09/06/2019 to 10/06/2019,
ITC.NS - | Stock Price & Latest News,https://www.reuters.com/markets/companies/ITC.NS,"Get ITC Ltd (ITC.NS) real-time stock quotes, news, price and financial information from Reuters to inform your trading and investments.",09/06/2019 to 10/06/2019,
